izvajalec,drzava,leto_rojstva
Bradley Cooper,United States,1975
Ava Max,United States,1994
DaBaby,United States,1991
J. Cole,United States,1985
Gunna,United States,1993
Lewis Capaldi,United Kingdom,1996
Lil Tecca,United States,2002
Rick Ross,United States,1976
Brendon Urie,United States,1987
Polo G,United States,1999
Lil Tjay,United States,2001
Blueface,United States,1997
Sheck Wes,United States,1998
Morgan Wallen,United States,1993
Blake Shelton,United States,1976
Dean Lewis,United States,1987
Mustard,United States,1990
Blanco Brown,,1985
Calboy,United States,1999
Lauren Daigle,United States,1991
Snow,Canada,1969
Ynw Melly,United States,1999
City Girls,United States,
Shaed,United States,
Flipp Dinero,,1995
Pinkfong,,
Saweetie,United States,1993
Yk Osiris,,1998
Lee Brice,United States,1979
Megan Thee Stallion,United States,1995
Nle Choppa,United States,2002
Chase Rice,United States,1985
Social House,United States,1987
Roddy Ricch,United States,1998
Doja Cat,United States,1995
Gabby Barrett,United States,2000
Jack Harlow,United States,1998
Tones And I,United States,
Arizona Zervas,United States,1995
Saint Jhn,Guyana,1986
Trevor Daniel,,1994
Lil Mosey,United States,2002
Jawsh 685,New Zealand,2002
BTS,South Korea,
Lil Durk,,1992
Powfu,Canada,1999
Beabadoobee,United Kingdom,2000
24kGoldn,United States,2000
Iann Dior,United States,1999
Pop Smoke,United States,1999
Black Eyed Peas,United States,
Rod Wave,United States,1995
Gwen Stefani,United States,1969
Jp Saxe,Canada,1993
42 Dugg,United States,1994
Old Dominion,United States,
Surfaces,United States,
Eminem,United States,1972
StaySolidRocky,United States,2001
Maddie & Tae,United States,
Mariah Carey,United States,1969
Carly Pearce,United States,1990
50 Cent,United States,1975
Benee,New Zealand,2000
Gus Dapperton,United States,1997
The Scotts,,
Kid Cudi,United States,1984
Atr Son Son,,
Miranda Lambert,United States,1983
Eric Church,United States,1977
Surf Mesa,United States,2000
Emilee,,
Moneybagg Yo,United States,1991
H.E.R.,United States,1997
Olivia Rodrigo,United States,2003
Silk Sonic,United States,
Anderson .Paak,United States,1986
Daniel Caesar,Canada,1995
Giveon,United States,1995
The Kid Laroi,United States,2003
Glass Animals,United Kingdom,
Masked Wolf,United States,1991
Walker Hayes,,1979
Jhay Cortez,,1993
6lack,United States,1992
Tate Mcrae,Canada,2003
Pooh Shiesty,United States,1999
SpotemGottem,United States,2001
Kali Uchis,United States,1994
CJ,United States,1997
Internet Money,United States,
Don Toliver,United States,1994
Nav,Canada,1989
AJR,United States,
Yung Bleu,United States,1994
Tems,Nigeria,1995
Ryan Hurd,United States,1986
Måneskin,Italy,
